node_id,cluster_id,cluster_size
8748,0,1372
8746,0,1372
563,0,1372
8756,0,1372
570,0,1372
8763,0,1372
8765,0,1372
8766,0,1372
8768,0,1372
8774,0,1372
8785,0,1372
597,0,1372
8798,0,1372
8799,0,1372
607,0,1372
8802,0,1372
612,0,1372
8804,0,1372
614,0,1372
8809,0,1372
8814,0,1372
625,0,1372
627,0,1372
629,0,1372
8823,0,1372
633,0,1372
8831,0,1372
8832,0,1372
8837,0,1372
8843,0,1372
651,0,1372
8853,0,1372
8854,0,1372
663,0,1372
8856,0,1372
8855,0,1372
8861,0,1372
8868,0,1372
677,0,1372
8872,0,1372
681,0,1372
682,0,1372
8876,0,1372
687,0,1372
689,0,1372
8884,0,1372
694,0,1372
8888,0,1372
8889,0,1372
8890,0,1372
699,0,1372
703,0,1372
8896,0,1372
714,0,1372
8910,0,1372
718,0,1372
723,0,1372
725,0,1372
738,0,1372
8931,0,1372
742,0,1372
743,0,1372
746,0,1372
8940,0,1372
8941,0,1372
752,0,1372
755,0,1372
8948,0,1372
8949,0,1372
8950,0,1372
758,0,1372
760,0,1372
762,0,1372
767,0,1372
770,0,1372
773,0,1372
776,0,1372
779,0,1372
787,0,1372
788,0,1372
789,0,1372
8983,0,1372
791,0,1372
792,0,1372
799,0,1372
8992,0,1372
804,0,1372
8997,0,1372
806,0,1372
816,0,1372
9016,0,1372
9017,0,1372
9020,0,1372
840,0,1372
9039,0,1372
9040,0,1372
9041,0,1372
855,0,1372
859,0,1372
861,0,1372
9054,0,1372
9055,0,1372
9056,0,1372
865,0,1372
864,0,1372
868,0,1372
9064,0,1372
882,0,1372
883,0,1372
9077,0,1372
896,0,1372
903,0,1372
9101,0,1372
919,0,1372
920,0,1372
921,0,1372
922,0,1372
923,0,1372
933,0,1372
943,0,1372
9136,0,1372
9138,0,1372
949,0,1372
960,0,1372
963,0,1372
966,0,1372
968,0,1372
977,0,1372
9169,0,1372
983,0,1372
9175,0,1372
998,0,1372
9191,0,1372
1002,0,1372
1005,0,1372
9206,0,1372
1016,0,1372
1017,0,1372
9210,0,1372
9211,0,1372
1020,0,1372
1022,0,1372
1026,0,1372
1027,0,1372
1034,0,1372
1037,0,1372
9231,0,1372
9232,0,1372
9233,0,1372
1039,0,1372
9235,0,1372
9237,0,1372
9240,0,1372
1053,0,1372
1055,0,1372
1061,0,1372
9257,0,1372
9258,0,1372
1068,0,1372
9261,0,1372
9262,0,1372
9260,0,1372
1072,0,1372
9264,0,1372
9266,0,1372
9270,0,1372
1078,0,1372
1080,0,1372
1081,0,1372
9276,0,1372
1087,0,1372
1090,0,1372
1092,0,1372
1094,0,1372
1096,0,1372
9292,0,1372
9294,0,1372
1109,0,1372
9305,0,1372
9306,0,1372
9307,0,1372
1115,0,1372
1117,0,1372
9310,0,1372
1119,0,1372
1121,0,1372
9315,0,1372
9316,0,1372
1124,0,1372
1126,0,1372
1127,0,1372
9319,0,1372
9321,0,1372
1129,0,1372
1135,0,1372
9327,0,1372
9330,0,1372
9331,0,1372
9332,0,1372
9333,0,1372
1143,0,1372
1144,0,1372
9338,0,1372
1146,0,1372
1148,0,1372
9341,0,1372
9343,0,1372
